epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.24327,1.5466,2.4985,1.7728,0.01231,0.96,0.75911,0.45536,1.22264,2.33528,1.41351,0.00038,0.00038,0.00038
2,14.3679,1.28654,1.59647,1.47868,0.97822,0.64,0.85796,0.56508,1.22092,1.78916,1.39992,0.000764556,0.000764556,0.000764556
3,20.5311,1.17552,1.3603,1.3878,0.61569,0.48,0.54669,0.27832,1.53534,2.13562,1.80172,0.00113327,0.00113327,0.00113327
4,25.7693,1.12482,1.26448,1.35055,0.63812,0.6,0.60817,0.37705,1.29025,1.76603,1.53724,0.00148615,0.00148615,0.00148615
5,31.7928,1.14148,1.21383,1.34853,0.52125,0.43559,0.43947,0.28815,1.41635,1.83348,1.73385,0.00182318,0.00182318,0.00182318
6,36.856,1.09061,1.14244,1.31992,0.95083,0.77365,0.87136,0.59121,1.07521,0.98922,1.41296,0.001802,0.001802,0.001802
7,42.3464,1.07363,1.10789,1.29658,0.84195,0.7,0.74424,0.53724,0.98914,1.38099,1.27219,0.0017624,0.0017624,0.0017624
8,48.1746,1.0341,0.99597,1.28496,0.77423,0.84,0.8022,0.57054,1.03131,1.28856,1.28578,0.0017228,0.0017228,0.0017228
9,53.062,1.03247,1.01094,1.26725,0.94551,0.69415,0.86383,0.61462,1.08654,1.0782,1.32668,0.0016832,0.0016832,0.0016832
10,59.2069,1.00225,0.9451,1.26178,0.85988,0.76,0.89042,0.66651,0.93873,0.94277,1.1534,0.0016436,0.0016436,0.0016436
11,64.4391,1.00415,0.91575,1.24055,0.81391,0.87482,0.88901,0.66514,0.97616,0.78933,1.19614,0.001604,0.001604,0.001604
12,70.5839,0.97456,0.89683,1.23853,0.83472,0.88,0.9234,0.69804,0.9568,0.76374,1.1708,0.0015644,0.0015644,0.0015644
13,75.6944,0.9743,0.90716,1.26587,0.80333,0.82,0.89225,0.68604,0.87715,0.78972,1.13602,0.0015248,0.0015248,0.0015248
14,81.1755,0.96673,0.86549,1.22406,0.83266,0.82,0.85997,0.69137,0.77889,0.76781,1.07943,0.0014852,0.0014852,0.0014852
15,86.8168,0.92958,0.81097,1.19299,0.9393,0.82,0.93974,0.75606,0.78378,0.74898,1.08496,0.0014456,0.0014456,0.0014456
16,91.9813,0.90063,0.78148,1.20062,0.80187,1,0.94578,0.77324,0.74134,0.59762,1.04502,0.001406,0.001406,0.001406
17,98.0833,0.91306,0.78031,1.1957,0.86158,0.92,0.90085,0.70501,0.76735,0.69482,1.07382,0.0013664,0.0013664,0.0013664
18,103.008,0.87823,0.75954,1.17228,0.87661,0.94,0.9175,0.73979,0.78196,0.63689,1.08768,0.0013268,0.0013268,0.0013268
19,109.096,0.88006,0.72222,1.16551,0.8872,0.94393,0.91776,0.74306,0.73778,0.53555,1.03468,0.0012872,0.0012872,0.0012872
20,114.497,0.86013,0.73901,1.16917,0.77039,0.92,0.90527,0.71389,0.78094,0.63299,1.07299,0.0012476,0.0012476,0.0012476
21,119.957,0.86207,0.70422,1.15041,0.81963,0.94,0.90465,0.72638,0.76614,0.74326,1.04624,0.001208,0.001208,0.001208
22,125.617,0.8702,0.69936,1.1633,0.82091,0.91678,0.93434,0.76157,0.74764,0.64393,1.06407,0.0011684,0.0011684,0.0011684
23,130.727,0.83833,0.69558,1.14514,0.8846,0.94,0.91782,0.76869,0.69108,0.57449,1.01423,0.0011288,0.0011288,0.0011288
24,136.86,0.80698,0.68491,1.13185,0.87172,0.81553,0.8805,0.7195,0.76312,0.70156,1.03963,0.0010892,0.0010892,0.0010892
25,141.904,0.82335,0.66319,1.14525,0.96988,0.76,0.85452,0.71632,0.76244,0.76022,1.06048,0.0010496,0.0010496,0.0010496
26,148.068,0.7967,0.64972,1.13578,0.91412,0.85169,0.88563,0.73696,0.74191,0.71661,1.04047,0.00101,0.00101,0.00101
27,153.179,0.79565,0.64746,1.12023,0.9408,0.84,0.94791,0.77183,0.75184,0.61281,1.04693,0.0009704,0.0009704,0.0009704
28,158.601,0.78892,0.61962,1.10958,0.88827,0.95411,0.9689,0.79521,0.73468,0.51652,1.0401,0.0009308,0.0009308,0.0009308
29,164.22,0.74865,0.6042,1.08793,0.85347,0.932,0.94216,0.7913,0.68198,0.58789,1.02284,0.0008912,0.0008912,0.0008912
30,169.049,0.80938,0.6229,1.13509,0.87471,0.83783,0.94089,0.78459,0.75618,0.60532,1.05841,0.0008516,0.0008516,0.0008516
31,175.466,0.79483,0.62407,1.12388,0.85676,1,0.97033,0.80761,0.69361,0.42828,1.00854,0.000812,0.000812,0.000812
32,180.435,0.76855,0.59677,1.10471,0.8593,0.97718,0.95773,0.80594,0.68394,0.47935,1.03051,0.0007724,0.0007724,0.0007724
33,186.603,0.76017,0.61124,1.09797,0.85281,0.92715,0.93792,0.78052,0.71371,0.62441,1.02526,0.0007328,0.0007328,0.0007328
34,191.668,0.74709,0.57756,1.08233,0.83083,0.88409,0.9353,0.78074,0.67784,0.68055,1.02765,0.0006932,0.0006932,0.0006932
35,197.187,0.73445,0.56913,1.08181,0.836,0.91759,0.95808,0.79558,0.67652,0.58885,0.99538,0.0006536,0.0006536,0.0006536
36,203.118,0.74085,0.56025,1.08309,0.88864,0.79805,0.93174,0.79121,0.63201,0.65564,0.99292,0.000614,0.000614,0.000614
37,208.126,0.70387,0.53226,1.0687,0.85648,0.95488,0.96085,0.80553,0.65535,0.53646,0.9914,0.0005744,0.0005744,0.0005744
38,214.36,0.71299,0.55404,1.0738,0.88689,0.8,0.89179,0.75719,0.62545,0.6986,0.98523,0.0005348,0.0005348,0.0005348
39,219.367,0.70488,0.53686,1.06374,0.92674,0.8,0.9404,0.79428,0.6492,0.62167,0.99027,0.0004952,0.0004952,0.0004952
40,225.493,0.68117,0.54132,1.07089,0.84503,0.94,0.96415,0.81085,0.66492,0.50617,1.00172,0.0004556,0.0004556,0.0004556
41,232.18,0.59712,0.47057,0.99768,0.85383,0.94,0.95666,0.80695,0.62895,0.52846,0.97789,0.000416,0.000416,0.000416
